"","DATE","STATE","EVTYPE","FATALITIES","INJURIES","PROPDMG","PROPDMGEXP","CROPDMG","CROPDMGEXP","SHORTDATE","PROPDMG_TOTAL","CROPDMG_TOTAL","DAMAGES"
"23300",1974-05-12,"GA","TORNADO",2,7,2.5,"M",0,"",1974-05-01,2.5,0,2.5
"23301",1974-05-12,"GA","TORNADO",0,6,250,"K",0,"",1974-05-01,0.25,0,0.25
"23302",1974-05-12,"GA","TORNADO",0,2,25,"K",0,"",1974-05-01,0.025,0,0.025
"23303",1974-05-12,"GA","TORNADO",1,3,250,"K",0,"",1974-05-01,0.25,0,0.25
"23336",1974-11-20,"GA","TORNADO",0,6,2.5,"M",0,"",1974-11-01,2.5,0,2.5
"23338",1974-11-20,"GA","TORNADO",0,15,250,"K",0,"",1974-11-01,0.25,0,0.25
"23366",1975-01-12,"GA","TORNADO",0,15,2.5,"M",0,"",1975-01-01,2.5,0,2.5
"23370",1975-01-12,"GA","TORNADO",0,1,25,"K",0,"",1975-01-01,0.025,0,0.025
"23379",1975-02-18,"GA","TORNADO",2,50,25,"M",0,"",1975-02-01,25,0,25
"23382",1975-02-23,"GA","TORNADO",0,2,250,"K",0,"",1975-02-01,0.25,0,0.25
"23407",1975-03-13,"GA","TORNADO",0,1,250,"K",0,"",1975-03-01,0.25,0,0.25
"23408",1975-03-13,"GA","TORNADO",0,1,250,"K",0,"",1975-03-01,0.25,0,0.25
"23413",1975-03-13,"GA","TORNADO",0,5,250,"K",0,"",1975-03-01,0.25,0,0.25
"23415",1975-03-14,"GA","TORNADO",0,7,250,"K",0,"",1975-03-01,0.25,0,0.25
"23416",1975-03-24,"GA","TORNADO",3,152,250,"M",0,"",1975-03-01,250,0,250
"23418",1975-03-24,"GA","TORNADO",0,3,250,"K",0,"",1975-03-01,0.25,0,0.25
"23441",1975-05-03,"GA","TORNADO",0,1,250,"K",0,"",1975-05-01,0.25,0,0.25
"23443",1975-05-03,"GA","TORNADO",0,2,250,"K",0,"",1975-05-01,0.25,0,0.25
"23493",1975-09-23,"GA","TORNADO",0,8,25,"K",0,"",1975-09-01,0.025,0,0.025
"23540",1976-05-14,"GA","TORNADO",0,1,25,"K",0,"",1976-05-01,0.025,0,0.025
"23542",1976-05-14,"GA","TORNADO",0,2,250,"K",0,"",1976-05-01,0.25,0,0.25
"23589",1977-03-30,"GA","TORNADO",0,4,250,"K",0,"",1977-03-01,0.25,0,0.25
"23596",1977-04-04,"GA","TORNADO",1,15,2.5,"M",0,"",1977-04-01,2.5,0,2.5
"23603",1977-04-04,"GA","TORNADO",0,1,250,"K",0,"",1977-04-01,0.25,0,0.25
"23648",1977-08-02,"GA","TORNADO",0,1,2.5,"K",0,"",1977-08-01,0.0025,0,0.0025
