"","DATE","STATE","EVTYPE","FATALITIES","INJURIES","PROPDMG","PROPDMGEXP","CROPDMG","CROPDMGEXP","SHORTDATE","PROPDMG_TOTAL","CROPDMG_TOTAL","DAMAGES"
"187617",1995-03-20,"AL","FOG",1,71,900,"K",0,"",1995-03-01,0.9,0,0.9
"187654",1994-03-24,"AL","WIND",0,2,500,"K",50,"K",1994-03-01,0.5,0.05,0.05
"187671",1994-02-23,"AL","WIND",0,2,0,"",0,"",1994-02-01,0,0,0
"187672",1994-03-27,"AL","TORNADO",0,1,500,"K",0,"",1994-03-01,0.5,0,0.5
"187680",1994-11-28,"AL","TORNADO",0,5,500,"K",5,"K",1994-11-01,0.5,0.005,0.005
"187735",1993-02-21,"AL","TORNADO",0,5,500,"K",0,"",1993-02-01,0.5,0,0.5
"187777",1995-04-21,"AL","WIND",0,1,5,"K",0,"",1995-04-01,0.005,0,0.005
"187786",1993-08-21,"AL","WIND",0,1,0,"",0,"",1993-08-01,0,0,0
"187804",1995-12-06,"AL","TORNADO",0,1,30,"K",0,"",1995-12-01,0.03,0,0.03
"187813",1994-07-20,"AL","STORM",0,1,0.05,"K",0,"",1994-07-01,5e-05,0,5e-05
"187879",1994-06-07,"AL","WIND",0,1,50,"K",0,"",1994-06-01,0.05,0,0.05
"187910",1995-02-16,"AL","TORNADO",6,130,5,"M",5,"K",1995-02-01,5,0.005,0.005
"187926",1994-03-27,"AL","TORNADO",0,20,5,"M",0,"",1994-03-01,5,0,5
"188030",1995-07-17,"AL","STORM",0,1,0,"",0,"",1995-07-01,0,0,0
"188049",1995-02-10,"AL","STORM",0,4,0,"",0,"",1995-02-01,0,0,0
"188057",1993-03-31,"AL","WIND",0,6,0,"",0,"",1993-03-01,0,0,0
"188059",1994-05-15,"AL","WIND",0,1,50,"K",0,"",1994-05-01,0.05,0,0.05
"188064",1995-03-18,"AL","STORM",0,1,0,"",0,"",1995-03-01,0,0,0
"188075",1995-10-27,"AL","TORNADO",0,2,90,"K",0,"",1995-10-01,0.09,0,0.09
